game_id,game_category,game_title,monthly_average_players,month_year,platform
1,First-person shooter,CS: GO,"671,647.5",June 2020,steam
2,First-person shooter,Destiny 2,"77,550.2",June 2020,steam
3,First-person shooter,Tom Clancy's Rainbow Six Siege,"70,200.5",June 2020,steam
4,Action-adventure,GTA V,"99,752.9",June 2020,steam
5,Action-adventure,ARK: Survival Evolved,"59,435.7",June 2020,steam
6,Action-adventure,Rust,"50,417.7",June 2020,steam
7,Sports,Rocket League,"41,136.6",June 2020,steam
8,Sports,Football Manager 2020,"57,967.3",June 2020,steam
9,Sports,eFootball PES 2020,"10,825.5",June 2020,steam
10,Multiplayer online battle arena,Dota 2,"457,184.4",June 2020,steam
11,Multiplayer online battle arena,SMITE,"14,765.6",June 2020,steam
12,Multiplayer online battle arena,Paladins,"10,537.0",June 2020,steam
1,First-person shooter,CS: GO,"625,900.8",July 2020,steam
2,First-person shooter,Destiny 2,"68,439.8",July 2020,steam
3,First-person shooter,Tom Clancy's Rainbow Six Siege,"76,279.2",July 2020,steam
4,Action-adventure,GTA V,"83,654.7",July 2020,steam
5,Action-adventure,ARK: Survival Evolved,"57,164.0",July 2020,steam
6,Action-adventure,Rust,"58,238.7",July 2020,steam
7,Sports,Rocket League,"41,893.3",July 2020,steam
8,Sports,Football Manager 2020,"58,842.5",July 2020,steam
9,Sports,eFootball PES 2020,"11,600.5",July 2020,steam
10,Multiplayer online battle arena,Dota 2,"450,214.0",July 2020,steam
11,Multiplayer online battle arena,SMITE,"15,841.9",July 2020,steam
12,Multiplayer online battle arena,Paladins,"10,141.1",July 2020,steam
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
