Date,Open,High,Low,Close,Volume,OpenInt,Stock Code,Stock Name
3/1/2012,175.89,179.48,175.55,179.03,5110970,0,AMZN,Amazon
4/1/2012,179.14,180.5,176.07,177.51,4205374,0,AMZN,Amazon
5/1/2012,175.94,178.25,174.05,177.61,3809838,0,AMZN,Amazon
6/1/2012,178.07,184.65,177.5,182.61,7009839,0,AMZN,Amazon
9/1/2012,182.62,184.37,177,178.56,5056842,0,AMZN,Amazon
10/1/2012,181.19,182.4,177.1,179.34,3985802,0,AMZN,Amazon
11/1/2012,179.5,180.77,178.19,178.9,3102777,0,AMZN,Amazon
12/1/2012,179.42,179.49,175.75,175.93,5386885,0,AMZN,Amazon
13/1/2012,176.02,178.8,173.5,178.42,4753389,0,AMZN,Amazon
17/1/2012,180.39,183.3,178.51,181.66,5644453,0,AMZN,Amazon
18/1/2012,181.9,190.25,181.12,189.44,7474537,0,AMZN,Amazon
19/1/2012,190.84,195.94,190.36,194.45,7096902,0,AMZN,Amazon
20/1/2012,190.79,192.9,189.04,190.93,5610242,0,AMZN,Amazon
23/1/2012,190.8,191.73,185.23,186.09,4586384,0,AMZN,Amazon
24/1/2012,185,188.41,183.82,187,4678993,0,AMZN,Amazon
25/1/2012,187,188.17,184.61,187.8,4306783,0,AMZN,Amazon
26/1/2012,189.3,194.85,188.73,193.32,5874242,0,AMZN,Amazon
27/1/2012,193.08,196.5,192.33,195.37,4659131,0,AMZN,Amazon
30/1/2012,193.68,195,190.13,192.15,5426638,0,AMZN,Amazon
31/1/2012,194.25,195.63,189.7,194.44,12745930,0,AMZN,Amazon
1/2/2012,173.81,179.95,172,179.46,21337323,0,AMZN,Amazon
2/2/2012,179.95,181.94,176.8,181.72,8738156,0,AMZN,Amazon
3/2/2012,182.71,187.9,181.89,187.68,8122016,0,AMZN,Amazon
6/2/2012,186.5,186.52,182.92,183.14,5082036,0,AMZN,Amazon
7/2/2012,182.45,184.94,182.06,184.19,5103838,0,AMZN,Amazon
8/2/2012,184.95,186.49,182.91,185.48,5477158,0,AMZN,Amazon
9/2/2012,184.5,185.69,181.76,184.98,7189245,0,AMZN,Amazon
10/2/2012,183.15,187.63,182.52,185.54,5797010,0,AMZN,Amazon
13/2/2012,187.17,192.5,185.68,191.59,6072118,0,AMZN,Amazon
14/2/2012,190.64,193.57,186.1,191.3,9532219,0,AMZN,Amazon
15/2/2012,191.54,191.54,183.26,184.47,7797587,0,AMZN,Amazon
16/2/2012,177.65,181.68,175.14,179.93,12563763,0,AMZN,Amazon
17/2/2012,180.09,183.41,179.36,182.5,7418012,0,AMZN,Amazon
21/2/2012,182.65,184.75,180.58,182.26,6756486,0,AMZN,Amazon
22/2/2012,181.94,182.99,180.29,180.58,5786428,0,AMZN,Amazon
23/2/2012,179.33,180.75,176.96,178.89,5156505,0,AMZN,Amazon
24/2/2012,179.71,180.74,178.37,179.13,3311754,0,AMZN,Amazon
27/2/2012,177.78,179.19,176.5,178.53,3706636,0,AMZN,Amazon
28/2/2012,178.9,184.29,177.95,183.8,5764607,0,AMZN,Amazon
29/2/2012,183.89,184,179.01,179.69,5301548,0,AMZN,Amazon
1/3/2012,179.93,180.49,176.58,180.04,4937075,0,AMZN,Amazon
2/3/2012,179.35,181.84,178.92,179.3,3657711,0,AMZN,Amazon
5/3/2012,179,181.82,178.18,180.26,4683857,0,AMZN,Amazon
6/3/2012,178.68,183.5,178.04,181.09,5612185,0,AMZN,Amazon
7/3/2012,182.65,185.5,182.4,183.77,3761317,0,AMZN,Amazon
8/3/2012,184.17,188.38,183.8,187.64,4222585,0,AMZN,Amazon
9/3/2012,186.79,187.2,183.44,184.32,4510556,0,AMZN,Amazon
12/3/2012,184.32,185.4,182.2,183.39,2588002,0,AMZN,Amazon
13/3/2012,183.99,184.87,180.77,184.59,4404299,0,AMZN,Amazon
14/3/2012,183.75,184.32,181.14,182.26,3699734,0,AMZN,Amazon
15/3/2012,182.02,184.43,180.3,184.43,4160618,0,AMZN,Amazon
16/3/2012,183.26,185.68,182.35,185.05,4934824,0,AMZN,Amazon
19/3/2012,183.45,186.68,183,185.52,3904019,0,AMZN,Amazon
20/3/2012,184.81,194.41,182.88,192.33,9167308,0,AMZN,Amazon
21/3/2012,192.5,194.28,191.26,191.73,3927684,0,AMZN,Amazon
22/3/2012,190.54,194.06,190.26,192.4,3740279,0,AMZN,Amazon
23/3/2012,191.89,196.2,191.8,195.04,5984094,0,AMZN,Amazon
26/3/2012,196.27,202.97,195.5,202.87,7619046,0,AMZN,Amazon
27/3/2012,203.8,209.85,202.88,205.44,9598624,0,AMZN,Amazon
28/3/2012,206.14,207,200.31,201.16,6246002,0,AMZN,Amazon
29/3/2012,201.28,205.31,200.63,204.61,5711125,0,AMZN,Amazon
30/3/2012,205.02,206.85,201.87,202.51,4438924,0,AMZN,Amazon
2/4/2012,198.02,199.9,197,198.05,6430261,0,AMZN,Amazon
3/4/2012,198.5,202.39,197.5,199.66,5001070,0,AMZN,Amazon
4/4/2012,196.95,197.68,192.36,193.99,5457982,0,AMZN,Amazon
5/4/2012,193.55,196.03,193.55,194.77,2455059,0,AMZN,Amazon
9/4/2012,192.02,194.2,190.5,191.87,2787440,0,AMZN,Amazon
10/4/2012,192.75,193.52,186.57,186.98,4455291,0,AMZN,Amazon
11/4/2012,189.63,191.97,186.79,187.97,4338008,0,AMZN,Amazon
12/4/2012,188.06,192.26,185.61,190.69,4027825,0,AMZN,Amazon
13/4/2012,189.9,189.94,186.26,188.46,3432003,0,AMZN,Amazon
16/4/2012,189.01,189.47,183.65,185.5,4044271,0,AMZN,Amazon
17/4/2012,187.21,190.04,186.87,188.39,2829185,0,AMZN,Amazon
18/4/2012,188.82,193.45,188.74,191.07,4001845,0,AMZN,Amazon
19/4/2012,192.93,194.55,189.75,191.1,4002787,0,AMZN,Amazon
20/4/2012,192.34,193.48,189.8,189.98,3243595,0,AMZN,Amazon
23/4/2012,188.99,188.99,185.51,188.24,3481256,0,AMZN,Amazon
24/4/2012,188.68,190.7,186.51,190.33,3378578,0,AMZN,Amazon
25/4/2012,191.67,194.8,191.6,194.42,3956735,0,AMZN,Amazon
26/4/2012,193.57,196.36,193.02,195.99,10165271,0,AMZN,Amazon
27/4/2012,224.83,228.69,220.22,226.85,22116989,0,AMZN,Amazon
30/4/2012,223.95,233.84,223.05,231.9,9761255,0,AMZN,Amazon
1/5/2012,229.4,232.97,228.4,230.04,6755059,0,AMZN,Amazon
2/5/2012,227.82,231.44,227.4,230.25,4593424,0,AMZN,Amazon
3/5/2012,229.74,232.53,228.03,229.45,4057390,0,AMZN,Amazon
4/5/2012,227.8,229.72,223.74,223.99,4586463,0,AMZN,Amazon
7/5/2012,222.36,226.87,222.29,225.16,3313252,0,AMZN,Amazon
8/5/2012,223.15,225.39,218.2,223.9,4522739,0,AMZN,Amazon
9/5/2012,220.59,225.78,220.16,222.98,3713131,0,AMZN,Amazon
10/5/2012,223.91,229.08,221.95,226.69,4648258,0,AMZN,Amazon
11/5/2012,225.95,230.68,225.73,227.68,4193941,0,AMZN,Amazon
14/5/2012,225.6,227.29,222.51,222.93,3187212,0,AMZN,Amazon
15/5/2012,226.5,230.61,223,224.39,5714638,0,AMZN,Amazon
16/5/2012,225,228,222.5,224.06,5408780,0,AMZN,Amazon
